name,description,imageUrl,videoUrl,category
Decentralized,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,https://wiley.com/consequat/metus/sapien/ut/nunc.jsp,https://godaddy.com/velit/nec/nisi/vulputate.aspx,full
core,Duis bibendum.,https://xinhuanet.com/volutpat/quam/pede/lobortis/ligula/sit/amet.json,https://stanford.edu/lectus/vestibulum.js,upper
web-enabled,Duis bibendum. Morbi non quam nec dui luctus rutrum.,https://indiatimes.com/id.html,http://lycos.com/ligula/vehicula/consequat.png,upper
radical,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",http://wikia.com/ac.jsp,https://pagesperso-orange.fr/id/lobortis/convallis.xml,arm
Future-proofed,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",http://ocn.ne.jp/placerat/ante/nulla/justo/aliquam/quis.json,https://ihg.com/non.xml,upper
utilisation,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",http://disqus.com/justo/pellentesque.jsp,https://go.com/diam/cras/pellentesque.png,leg
Optimized,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,https://nationalgeographic.com/leo/odio/condimentum/id/luctus/nec.jpg,http://booking.com/lacinia/erat.png,core
Open-source,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,https://yellowbook.com/platea/dictumst/etiam/faucibus/cursus/urna.jsp,http://baidu.com/sit/amet.js,full
knowledge base,Morbi a ipsum. Integer a nibh.,http://dot.gov/tortor/sollicitudin/mi.html,https://wisc.edu/porttitor/id.xml,lower
policy,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,https://jimdo.com/etiam.html,http://google.co.uk/quisque/porta/volutpat/erat/quisque/erat.png,lower
system engine,Curabitur at ipsum ac tellus semper interdum.,https://desdev.cn/proin/eu/mi/nulla.jsp,http://wordpress.com/suscipit/ligula/in.png,core
collaboration,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,http://hibu.com/eros.jsp,https://twitpic.com/vivamus/vel.xml,core
5th generation,Suspendisse potenti. Nullam porttitor lacus at turpis.,https://ovh.net/eu.png,http://drupal.org/faucibus/orci/luctus/et/ultrices/posuere.js,upper
archive,Aenean sit amet justo.,https://linkedin.com/quis.jpg,http://cisco.com/integer/aliquet/massa/id/lobortis/convallis/tortor.xml,lower
Programmable,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,http://youku.com/viverra/diam.html,http://globo.com/eleifend/pede/libero.js,leg
empowering,In eleifend quam a odio. In hac habitasse platea dictumst.,http://discuz.net/turpis.aspx,http://reverbnation.com/dictumst/maecenas/ut/massa/quis.js,core
systematic,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",http://hp.com/eu/magna.aspx,https://instagram.com/consequat/lectus/in/est/risus/auctor/sed.json,arm
array,Suspendisse potenti. Nullam porttitor lacus at turpis.,http://dion.ne.jp/posuere.aspx,https://bravesites.com/convallis/tortor/risus/dapibus/augue/vel/accumsan.xml,upper
mobile,Cras non velit nec nisi vulputate nonummy.,http://npr.org/faucibus/cursus/urna.html,http://chron.com/nulla/suscipit/ligula/in/lacus/curabitur.json,lower
Extended,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",https://shop-pro.jp/amet/turpis/elementum/ligula/vehicula.png,https://businessweek.com/etiam/justo/etiam.jpg,arm
project,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,http://vinaora.com/sit/amet/eleifend/pede/libero/quis.html,https://unc.edu/justo/pellentesque.html,lower
Cross-group,Mauris sit amet eros.,http://google.com/neque/duis/bibendum.json,https://psu.edu/dui/vel.js,upper
Down-sized,Proin interdum mauris non ligula pellentesque ultrices.,http://google.cn/amet/nulla/quisque/arcu.aspx,http://nsw.gov.au/a/libero.png,upper
4th generation,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",http://comsenz.com/nulla/integer.html,http://comcast.net/suspendisse/ornare/consequat.jsp,arm
Switchable,Aliquam quis turpis eget elit sodales scelerisque.,https://list-manage.com/quisque/arcu.json,https://theguardian.com/semper.js,full
disintermediate,Donec quis orci eget orci vehicula condimentum.,https://ed.gov/nullam/sit/amet/turpis/elementum/ligula/vehicula.png,http://exblog.jp/fusce/lacus/purus.png,core
service-desk,Nunc purus. Phasellus in felis.,http://berkeley.edu/faucibus/orci/luctus.xml,http://bloomberg.com/orci/luctus/et/ultrices.xml,leg
Realigned,Nulla nisl. Nunc nisl.,https://pen.io/ipsum/dolor/sit/amet.png,http://delicious.com/interdum.png,lower
bottom-line,Etiam faucibus cursus urna.,http://rakuten.co.jp/phasellus/sit/amet/erat/nulla/tempus/vivamus.js,https://spiegel.de/integer/ac/leo/pellentesque/ultrices/mattis/odio.json,full
intangible,Suspendisse potenti.,https://google.com/enim/blandit/mi/in/porttitor.jpg,https://time.com/vel/lectus/in/quam/fringilla/rhoncus/mauris.xml,core
interactive,Maecenas tincidunt lacus at velit.,https://uol.com.br/nulla/neque/libero/convallis/eget/eleifend.aspx,https://bing.com/sed/tristique.json,upper
conglomeration,Integer tincidunt ante vel ipsum.,https://a8.net/vestibulum.jsp,http://mediafire.com/lacus/morbi/sem/mauris/laoreet/ut/rhoncus.js,lower
context-sensitive,Fusce consequat.,http://blogspot.com/faucibus/orci/luctus/et.jpg,https://zdnet.com/purus/aliquet/at.xml,upper
Pre-emptive,Fusce posuere felis sed lacus.,http://walmart.com/nulla/facilisi/cras/non/velit.xml,http://msn.com/ultrices/enim.json,upper
cohesive,Ut tellus.,http://upenn.edu/turpis/enim/blandit.js,http://posterous.com/interdum/mauris/ullamcorper/purus/sit/amet/nulla.js,arm
incremental,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",https://gmpg.org/varius/integer/ac.json,http://yandex.ru/amet/consectetuer/adipiscing/elit/proin.json,leg
systematic,Fusce consequat.,https://wikia.com/eget/tempus/vel/pede/morbi.html,http://ow.ly/sodales/sed/tincidunt.aspx,lower
Open-architected,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",http://skyrock.com/sapien.jsp,https://google.com/proin/risus/praesent/lectus/vestibulum.json,leg
open system,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,https://woothemes.com/integer/ac.jpg,http://tinypic.com/aliquam/convallis/nunc/proin/at.png,full
complexity,Nullam porttitor lacus at turpis.,https://geocities.jp/a/nibh/in.jpg,http://sun.com/magna.json,full
migration,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",http://dion.ne.jp/turpis/a.html,https://omniture.com/nulla/neque/libero/convallis/eget/eleifend/luctus.json,leg
secondary,Aenean lectus.,https://geocities.com/quisque/arcu/libero/rutrum/ac.jsp,https://pbs.org/consequat.xml,core
implementation,Nullam molestie nibh in lectus. Pellentesque at nulla.,http://deviantart.com/adipiscing/elit/proin/risus/praesent/lectus/vestibulum.aspx,http://clickbank.net/id/lobortis.png,lower
Multi-lateral,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,http://flavors.me/morbi/a/ipsum.html,https://dailymotion.com/pede/justo.html,lower
bandwidth-monitored,Pellentesque ultrices mattis odio. Donec vitae nisi.,https://typepad.com/sapien/varius/ut/blandit/non/interdum/in.jsp,https://plala.or.jp/nulla/neque/libero.html,arm
Integrated,Etiam pretium iaculis justo.,http://whitehouse.gov/dictumst/maecenas/ut/massa/quis/augue/luctus.jpg,http://clickbank.net/leo/pellentesque.png,full
solution,Donec ut dolor.,http://washington.edu/sodales.json,http://ucla.edu/risus.html,full
Synergistic,Aenean sit amet justo.,https://blogspot.com/ac/diam/cras/pellentesque/volutpat/dui.aspx,http://cornell.edu/nulla/suscipit/ligula/in/lacus/curabitur.aspx,full
leverage,Nullam molestie nibh in lectus.,https://free.fr/vestibulum/proin/eu.json,https://washington.edu/in.json,full
approach,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",http://blogtalkradio.com/neque/libero/convallis/eget/eleifend/luctus/ultricies.jpg,http://washingtonpost.com/at/velit/vivamus/vel/nulla/eget.jpg,lower
homogeneous,Aliquam non mauris.,https://people.com.cn/at/feugiat/non.jsp,https://nba.com/sapien/dignissim/vestibulum/vestibulum/ante/ipsum.jpg,lower
stable,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",https://rediff.com/lorem/ipsum/dolor/sit.js,https://nationalgeographic.com/duis/bibendum/felis/sed/interdum/venenatis.html,leg
array,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",http://hatena.ne.jp/aenean/lectus/pellentesque/eget/nunc/donec.json,http://google.pl/morbi/porttitor.js,lower
success,Integer a nibh. In quis justo.,http://cnn.com/integer/tincidunt/ante/vel/ipsum/praesent.jpg,https://printfriendly.com/lacus/purus/aliquet/at/feugiat/non.xml,upper
Progressive,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",http://senate.gov/hac/habitasse/platea/dictumst/aliquam.xml,https://wikimedia.org/vestibulum.xml,core
portal,Aliquam quis turpis eget elit sodales scelerisque.,http://earthlink.net/ultrices/posuere/cubilia/curae/mauris/viverra.png,http://google.com.br/eget/rutrum/at/lorem/integer/tincidunt.jpg,leg
Self-enabling,Vivamus tortor. Duis mattis egestas metus.,https://macromedia.com/elementum/ligula/vehicula/consequat/morbi/a/ipsum.html,https://sogou.com/ipsum.json,core
functionalities,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,http://arizona.edu/pede/justo.js,http://youku.com/aenean/fermentum/donec/ut/mauris/eget/massa.js,core
Fundamental,Mauris ullamcorper purus sit amet nulla.,http://vkontakte.ru/lacus/at/velit/vivamus/vel/nulla/eget.jsp,https://sakura.ne.jp/sapien/cum/sociis.png,upper
